,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.0673076923076923,7,97,567
2,9377200_5525600,0.5,1,1,11
3,9298000_5556400,0.0,0,1,17
4,8492000_5775200,0.0,0,2,11
5,9366400_5525600,0.20408163265306123,10,39,46
6,8496000_5773200,0.18627450980392157,19,83,228
7,8953200_5840800,0.09090909090909091,6,60,365
8,9146800_5818800,0.1346153846153846,7,45,259
9,8590800_5530000,0.0,0,0,378
10,8814400_5994000,0.047619047619047616,2,40,105
11,8494000_5768000,0.2018348623853211,22,87,378
12,9054800_5682800,0.0,0,4,50
13,9067600_5682800,0.0,0,3,31
14,8586800_5536800,0.08256880733944955,9,100,474
15,8593200_5631200,0.11320754716981132,6,47,189
16,8290000_5496800,0.2894736842105263,22,54,88
17,9278000_5863200,0.12345679012345678,10,71,218
18,8333600_5491200,0.17647058823529413,3,14,10
19,8827600_5994800,0.12,3,22,17
20,8582800_5540400,0.0,0,7,91
21,8494400_5774400,0.13761467889908258,15,94,519
22,9364400_5522400,0.20689655172413793,6,23,32
23,8289600_5496800,0.17894736842105263,17,78,101
24,8287600_5498800,0.15384615384615385,12,66,435
25,8289200_5493200,0.16071428571428573,9,47,29
26,9067600_5680800,0.08,4,46,156
27,9153600_5814400,0.0,0,18,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.18867924528301888,10,43,70
30,8590000_5537600,0.043478260869565216,1,22,76
31,9057200_5688800,0.1,2,18,155
32,9268800_5668000,0.0,0,1,2
33,9066400_5686400,0.125,2,14,86
34,8290400_5494800,0.037037037037037035,3,78,344
35,8494800_5772800,0.2692307692307692,28,76,282
36,9066000_5677200,0.2222222222222222,2,7,44
37,9064000_5680400,0.3235294117647059,11,23,77
38,9057600_5682800,0.21875,7,25,132
39,9302400_5561200,0.14634146341463414,6,35,310
40,8336800_5492800,0.02857142857142857,3,102,11
41,9067200_5687600,0.0,0,0,32
42,8507200_5767200,0.0625,2,30,112
43,8494000_5774800,0.1,8,72,561
44,9064800_5678000,0.6666666666666666,4,2,18
45,8492000_5768000,0.13793103448275862,12,75,104
46,9054400_5684000,0.25806451612903225,8,23,12
47,9602400_6072800,0.07142857142857142,4,52,88
48,8338400_5491600,0.20588235294117646,7,27,1
49,9363600_5529200,0.18181818181818182,14,63,379
50,8590000_5540800,0.1566265060240964,13,70,486
51,8820800_5995200,0.0,0,2,8
52,9068400_5685600,0.0,0,0,13
53,9070800_5689600,0.0,0,7,35
54,8491200_5776400,0.0,0,0,4
55,9273600_5872000,0.0,0,0,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.13636363636363635,3,19,217
58,8826400_5996000,0.0,0,1,34
59,9154400_5812000,0.07142857142857142,2,26,228
60,8493600_5768400,0.15151515151515152,15,84,187
61,9147600_5814800,0.0,0,4,119
62,9065600_5680400,0.07142857142857142,2,26,67
63,9150400_5820000,0.14925373134328357,10,57,116
64,8369200_5550400,0.03488372093023256,3,83,32
65,8495600_5780400,0.05970149253731343,4,63,227
66,9062000_5682800,0.32142857142857145,18,38,89
67,8491200_5772000,0.10606060606060606,7,59,374
68,9068000_5683200,0.07692307692307693,1,12,103
69,8812400_5993200,0.8,4,1,9
70,9063200_5680400,0.16279069767441862,7,36,70
71,9059200_5691600,0.0975609756097561,4,37,277
72,8332800_5494000,0.0,0,10,174
73,8490400_5775600,0.14666666666666667,11,64,374
74,9067600_5688400,0.0,0,0,4
75,9066800_5684000,0.0,0,1,7
76,8334800_5494800,0.0,0,2,1
77,8492800_5776800,0.13978494623655913,13,80,292
78,8371200_5550800,0.0,0,22,1
79,9370800_5522800,0.12,9,66,119
80,8290000_5498000,0.08771929824561403,5,52,264
81,9054400_5681200,0.0,0,6,54
82,8287600_5497200,0.13333333333333333,8,52,337
83,9154800_5812000,0.05084745762711865,3,56,481
84,9368000_5530000,0.08064516129032258,5,57,107
85,9378800_5528400,0.0,0,12,41
86,9372000_5528800,0.15,3,17,112
87,8818000_5996000,0.13043478260869565,6,40,146
88,9061600_5680400,0.047619047619047616,2,40,181
89,8491200_5768400,0.19696969696969696,13,53,51
90,8591600_5541200,0.2465753424657534,18,55,324
91,8492400_5768400,0.1595744680851064,15,79,173
92,8337600_5491600,0.04878048780487805,2,39,10
93,8953600_5840000,0.16666666666666666,2,10,53
94,9602400_6071200,0.0425531914893617,4,90,171
95,8336800_5494400,0.0,0,37,50
96,9150000_5816800,0.0,0,0,273
97,8369600_5550800,0.05405405405405406,2,35,40
98,9063600_5690400,0.2222222222222222,8,28,22
99,9072000_5681600,0.0,0,1,14
100,9072400_5682000,0.046875,3,61,327
101,9285200_5870800,0.0,0,0,167
102,9064400_5682000,0.273972602739726,20,53,95
103,9156800_5812800,0.0,0,1,5
104,9158400_5819600,0.0,0,0,70
