,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.11224489795918367,11,87,567
2,9377200_5525600,0.0,0,1,11
3,9298000_5556400,0.0,0,3,17
4,8492000_5775200,0.0,0,0,11
5,9366400_5525600,0.26506024096385544,22,61,46
6,8496000_5773200,0.16774193548387098,26,129,228
7,8953200_5840800,0.013888888888888888,1,71,365
8,9146800_5818800,0.07792207792207792,6,71,259
9,8590800_5530000,0.0,0,2,378
10,8814400_5994000,0.06349206349206349,4,59,105
11,8494000_5768000,0.1069182389937107,17,142,378
12,9054800_5682800,0.05555555555555555,1,17,50
13,9067600_5682800,0.0,0,7,31
14,8586800_5536800,0.1390728476821192,21,130,474
15,8593200_5631200,0.13924050632911392,11,68,189
16,8290000_5496800,0.20588235294117646,21,81,88
17,9278000_5863200,0.12222222222222222,11,79,218
18,8333600_5491200,0.16,4,21,10
19,8827600_5994800,0.16216216216216217,6,31,17
20,8582800_5540400,0.2391304347826087,11,35,91
21,8494400_5774400,0.09271523178807947,14,137,519
22,9364400_5522400,0.21739130434782608,10,36,32
23,8289600_5496800,0.075,9,111,101
24,8287600_5498800,0.06666666666666667,9,126,435
25,8289200_5493200,0.21739130434782608,15,54,29
26,9067600_5680800,0.14492753623188406,10,59,156
27,9153600_5814400,0.14285714285714285,5,30,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.1282051282051282,10,68,70
30,8590000_5537600,0.18181818181818182,6,27,76
31,9057200_5688800,0.03125,1,31,155
32,9268800_5668000,0.0,0,1,2
33,9066400_5686400,0.12,3,22,86
34,8290400_5494800,0.04672897196261682,5,102,344
35,8494800_5772800,0.27932960893854747,50,129,282
36,9066000_5677200,0.09090909090909091,1,10,44
37,9064000_5680400,0.14,7,43,77
38,9057600_5682800,0.0975609756097561,4,37,132
39,9302400_5561200,0.05333333333333334,4,71,310
40,8336800_5492800,0.014814814814814815,2,133,11
41,9067200_5687600,0.0,0,2,32
42,8507200_5767200,0.018867924528301886,1,52,112
43,8494000_5774800,0.10909090909090909,12,98,561
44,9064800_5678000,0.4,4,6,18
45,8492000_5768000,0.1360544217687075,20,127,104
46,9054400_5684000,0.11627906976744186,5,38,12
47,9602400_6072800,0.037037037037037035,2,52,88
48,8338400_5491600,0.012345679012345678,1,80,1
49,9363600_5529200,0.07964601769911504,9,104,379
50,8590000_5540800,0.07079646017699115,8,105,486
51,8820800_5995200,0.0,0,1,8
52,9068400_5685600,0.0,0,3,13
53,9070800_5689600,0.0,0,16,35
54,8491200_5776400,0.0,0,2,4
55,9273600_5872000,0.0,0,11,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.0847457627118644,5,54,217
58,8826400_5996000,0.0,0,3,34
59,9154400_5812000,0.03125,1,31,228
60,8493600_5768400,0.24113475177304963,34,107,187
61,9147600_5814800,0.1,1,9,119
62,9065600_5680400,0.14285714285714285,5,30,67
63,9150400_5820000,0.1826086956521739,21,94,116
64,8369200_5550400,0.05555555555555555,7,119,32
65,8495600_5780400,0.058823529411764705,5,80,227
66,9062000_5682800,0.36538461538461536,19,33,89
67,8491200_5772000,0.17647058823529413,15,70,374
68,9068000_5683200,0.0,0,29,103
69,8812400_5993200,0.375,3,5,9
70,9063200_5680400,0.14545454545454545,8,47,70
71,9059200_5691600,0.0547945205479452,4,69,277
72,8332800_5494000,0.0,0,24,174
73,8490400_5775600,0.07462686567164178,10,124,374
74,9067600_5688400,0.0,0,0,4
75,9066800_5684000,0.0,0,2,7
76,8334800_5494800,0.0,0,12,1
77,8492800_5776800,0.057971014492753624,8,130,292
78,8371200_5550800,0.0,0,32,1
79,9370800_5522800,0.058823529411764705,5,80,119
80,8290000_5498000,0.0297029702970297,3,98,264
81,9054400_5681200,0.0,0,9,54
82,8287600_5497200,0.09302325581395349,8,78,337
83,9154800_5812000,0.1044776119402985,7,60,481
84,9368000_5530000,0.12658227848101267,10,69,107
85,9378800_5528400,0.0,0,13,41
86,9372000_5528800,0.18421052631578946,7,31,112
87,8818000_5996000,0.2839506172839506,23,58,146
88,9061600_5680400,0.09615384615384616,5,47,181
89,8491200_5768400,0.13675213675213677,16,101,51
90,8591600_5541200,0.09734513274336283,11,102,324
91,8492400_5768400,0.11627906976744186,15,114,173
92,8337600_5491600,0.0,0,46,10
93,8953600_5840000,0.1111111111111111,2,16,53
94,9602400_6071200,0.1016949152542373,12,106,171
95,8336800_5494400,0.022222222222222223,1,44,50
96,9150000_5816800,0.0,0,2,273
97,8369600_5550800,0.1625,13,67,40
98,9063600_5690400,0.1724137931034483,5,24,22
99,9072000_5681600,0.0,0,3,14
100,9072400_5682000,0.023809523809523808,2,82,327
101,9285200_5870800,0.0,0,0,167
102,9064400_5682000,0.20869565217391303,24,91,95
103,9156800_5812800,0.0,0,18,5
104,9158400_5819600,0.0,0,0,70
105,9272800_5675600,0.019230769230769232,1,51,192
106,9299200_5558800,0.0,0,13,90
107,9146000_5816400,0.0425531914893617,2,45,285
108,8368000_5550800,0.014084507042253521,1,70,7
109,8337200_5490800,0.0,0,64,12
110,9369200_5528400,0.04918032786885246,3,58,60
111,9062800_5678800,0.0,0,7,5
112,8369600_5549200,0.041666666666666664,2,46,12
113,9366400_5522000,0.36363636363636365,28,49,33
114,9374000_5521200,0.09836065573770492,6,55,175
115,8333200_5493200,0.037037037037037035,1,26,10
116,9265600_5670000,0.03389830508474576,2,57,310
117,8336000_5491200,0.15853658536585366,13,69,163
118,9294800_5562800,0.01282051282051282,1,77,363
119,8495600_5778800,0.1484375,19,109,387
120,9364000_5521600,0.38095238095238093,8,13,13
121,9153200_5816800,0.32679738562091504,50,103,59
122,8600000_5537200,0.1111111111111111,14,112,370
123,9066000_5686400,0.09090909090909091,1,10,45
124,9054800_5686400,0.0,0,4,11
125,8489200_5771600,0.0,0,3,12
126,8492000_5771600,0.17333333333333334,13,62,212
127,8490800_5776000,0.08333333333333333,2,22,215
128,8816800_5993200,0.0,0,37,119
129,9063200_5677600,0.12,3,22,121
130,8503600_5771600,0.078125,10,118,577
131,9064400_5679600,0.25925925925925924,14,40,51
132,8490400_5768800,0.16260162601626016,20,103,229
133,9299600_5562400,0.0,0,38,1
134,8493600_5774800,0.04477611940298507,6,128,546
135,8289200_5496000,0.12280701754385964,14,100,101
136,8507600_5763200,0.13513513513513514,5,32,117
137,9610400_6072000,0.0,0,0,19
138,9299200_5561200,0.5609756097560976,23,18,6
139,8370000_5549200,0.0,0,67,12
140,9065200_5684800,0.0,0,8,33
