,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.11363636363636363,10,78,567
2,9377200_5525600,0.0,0,2,11
3,9298000_5556400,0.0,0,3,17
4,8492000_5775200,0.0,0,3,11
5,9366400_5525600,0.36363636363636365,16,28,46
6,8496000_5773200,0.24,18,57,228
7,8953200_5840800,0.0625,4,60,365
8,9146800_5818800,0.07894736842105263,3,35,259
9,8590800_5530000,0.0,0,0,378
10,8814400_5994000,0.08955223880597014,6,61,105
11,8494000_5768000,0.14782608695652175,17,98,378
12,9054800_5682800,0.0,0,7,50
13,9067600_5682800,0.0,0,5,31
14,8586800_5536800,0.13,13,87,474
15,8593200_5631200,0.11538461538461539,6,46,189
16,8290000_5496800,0.3157894736842105,24,52,88
17,9278000_5863200,0.0641025641025641,5,73,218
18,8333600_5491200,0.2,5,20,10
19,8827600_5994800,0.17857142857142858,5,23,17
20,8582800_5540400,0.0,0,3,91
21,8494400_5774400,0.13636363636363635,18,114,519
22,9364400_5522400,0.15,3,17,32
23,8289600_5496800,0.1414141414141414,14,85,101
24,8287600_5498800,0.09433962264150944,5,48,435
25,8289200_5493200,0.26,13,37,29
26,9067600_5680800,0.16,8,42,156
27,9153600_5814400,0.05555555555555555,1,17,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.16666666666666666,4,20,70
30,8590000_5537600,0.0,0,14,76
31,9057200_5688800,0.08571428571428572,3,32,155
32,9268800_5668000,0.0,0,2,2
33,9066400_5686400,0.19047619047619047,4,17,86
34,8290400_5494800,0.06944444444444445,5,67,344
35,8494800_5772800,0.29069767441860467,25,61,282
36,9066000_5677200,0.0,0,8,44
37,9064000_5680400,0.25,10,30,77
38,9057600_5682800,0.1724137931034483,5,24,132
39,9302400_5561200,0.0975609756097561,4,37,310
40,8336800_5492800,0.0136986301369863,1,72,11
41,9067200_5687600,0.5,1,1,32
42,8507200_5767200,0.07142857142857142,2,26,112
43,8494000_5774800,0.12195121951219512,10,72,561
44,9064800_5678000,0.16666666666666666,1,5,18
45,8492000_5768000,0.2823529411764706,24,61,104
46,9054400_5684000,0.3870967741935484,12,19,12
47,9602400_6072800,0.09259259259259259,5,49,88
48,8338400_5491600,0.1935483870967742,6,25,1
49,9363600_5529200,0.11688311688311688,9,68,379
50,8590000_5540800,0.11627906976744186,10,76,486
51,8820800_5995200,0.0,0,3,8
52,9068400_5685600,1.0,1,0,13
53,9070800_5689600,0.1111111111111111,1,8,35
54,8491200_5776400,0.0,0,0,4
55,9273600_5872000,0.0,0,0,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.05263157894736842,1,18,217
58,8826400_5996000,0.0,0,0,34
59,9154400_5812000,0.05263157894736842,1,18,228
60,8493600_5768400,0.17567567567567569,13,61,187
61,9147600_5814800,0.0,0,2,119
62,9065600_5680400,0.2857142857142857,4,10,67
63,9150400_5820000,0.15942028985507245,11,58,116
64,8369200_5550400,0.028169014084507043,2,69,32
65,8495600_5780400,0.13636363636363635,6,38,227
66,9062000_5682800,0.3684210526315789,21,36,89
67,8491200_5772000,0.15873015873015872,10,53,374
68,9068000_5683200,0.058823529411764705,1,16,103
69,8812400_5993200,0.5833333333333334,7,5,9
70,9063200_5680400,0.12121212121212122,4,29,70
71,9059200_5691600,0.2,8,32,277
72,8332800_5494000,0.0,0,6,174
73,8490400_5775600,0.14666666666666667,11,64,374
74,9067600_5688400,0.0,0,1,4
75,9066800_5684000,0.0,0,2,7
76,8334800_5494800,0.0,0,2,1
77,8492800_5776800,0.13793103448275862,12,75,292
78,8371200_5550800,0.0,0,26,1
79,9370800_5522800,0.20634920634920634,13,50,119
80,8290000_5498000,0.17777777777777778,8,37,264
81,9054400_5681200,0.3333333333333333,1,2,54
82,8287600_5497200,0.09090909090909091,4,40,337
83,9154800_5812000,0.0641025641025641,5,73,481
84,9368000_5530000,0.2413793103448276,14,44,107
85,9378800_5528400,0.06666666666666667,1,14,41
86,9372000_5528800,0.21739130434782608,5,18,112
87,8818000_5996000,0.21428571428571427,6,22,146
88,9061600_5680400,0.21212121212121213,7,26,181
89,8491200_5768400,0.0851063829787234,4,43,51
90,8591600_5541200,0.23880597014925373,16,51,324
91,8492400_5768400,0.2361111111111111,17,55,173
92,8337600_5491600,0.1,6,54,10
93,8953600_5840000,0.16666666666666666,1,5,53
94,9602400_6071200,0.12121212121212122,12,87,171
95,8336800_5494400,0.0,0,43,50
96,9150000_5816800,0.0,0,0,273
97,8369600_5550800,0.1568627450980392,8,43,40
98,9063600_5690400,0.2,7,28,22
99,9072000_5681600,0.0,0,0,14
100,9072400_5682000,0.07246376811594203,5,64,327
101,9285200_5870800,0.0,0,0,167
102,9064400_5682000,0.23809523809523808,15,48,95
103,9156800_5812800,0.0,0,0,5
104,9158400_5819600,0.0,0,0,70
105,9272800_5675600,0.1111111111111111,3,24,192
106,9299200_5558800,0.14285714285714285,1,6,90
107,9146000_5816400,0.08333333333333333,2,22,285
108,8368000_5550800,0.06666666666666667,1,14,7
109,8337200_5490800,0.0,0,20,12
110,9369200_5528400,0.09090909090909091,3,30,60
111,9062800_5678800,0.0,0,0,5
112,8369600_5549200,0.04,1,24,12
113,9366400_5522000,0.4166666666666667,20,28,33
114,9374000_5521200,0.09090909090909091,3,30,175
115,8333200_5493200,0.0,0,7,10
116,9265600_5670000,0.0,0,18,310
117,8336000_5491200,0.16,4,21,163
118,9294800_5562800,0.018867924528301886,1,52,363
119,8495600_5778800,0.16091954022988506,14,73,387
120,9364000_5521600,0.3783783783783784,14,23,13
121,9153200_5816800,0.42391304347826086,39,53,59
122,8600000_5537200,0.0821917808219178,6,67,370
123,9066000_5686400,0.0,0,7,45
124,9054800_5686400,0.25,1,3,11
125,8489200_5771600,0.0,0,1,12
126,8492000_5771600,0.225,9,31,212
127,8490800_5776000,0.3,6,14,215
128,8816800_5993200,0.1,2,18,119
129,9063200_5677600,0.36363636363636365,8,14,121
130,8503600_5771600,0.09411764705882353,8,77,577
131,9064400_5679600,0.3142857142857143,11,24,51
132,8490400_5768800,0.2608695652173913,24,68,229
133,9299600_5562400,0.0,0,10,1
134,8493600_5774800,0.20353982300884957,23,90,546
135,8289200_5496000,0.18055555555555555,13,59,101
136,8507600_5763200,0.045454545454545456,1,21,117
137,9610400_6072000,0.0,0,0,19
138,9299200_5561200,0.3103448275862069,9,20,6
139,8370000_5549200,0.17142857142857143,6,29,12
140,9065200_5684800,0.125,1,7,33
141,9066400_5682800,0.0,0,30,129
142,9148400_5814800,0.07692307692307693,4,48,217
143,8337600_5493200,0.0,0,18,16
144,8495200_5770800,0.42011834319526625,71,98,477
145,9149600_5820000,0.0625,1,15,437
146,8494800_5780000,0.17391304347826086,16,76,380
147,8496800_5764400,0.14285714285714285,5,30,430
148,8587200_5539600,0.22522522522522523,25,86,395
149,8287200_5497600,0.058823529411764705,2,32,355
150,9291600_5556800,0.023809523809523808,1,41,97
151,8815200_5996000,0.11764705882352941,4,30,126
152,8820400_5991200,0.18518518518518517,5,22,284
153,9062400_5680400,0.2,7,28,93
154,9151600_5817600,0.4154929577464789,59,83,343
155,8290800_5496000,0.2823529411764706,24,61,135
156,8491600_5769600,0.15306122448979592,15,83,409
157,8288400_5498400,0.19642857142857142,11,45,302
158,9153600_5820400,0.0945945945945946,7,67,218
159,8500400_5769600,0.2283464566929134,29,98,328
160,8287600_5498400,0.11428571428571428,4,31,239
161,8491600_5772000,0.14666666666666667,11,64,284
162,9376800_5526800,0.0,0,6,20
163,8505200_5766800,0.06666666666666667,3,42,795
164,9267200_5672800,0.0,0,3,20
165,8368000_5549200,0.11627906976744186,5,38,171
166,8592400_5536400,0.0,0,7,156
167,8584400_5542000,0.19230769230769232,25,105,417
168,8814800_5995600,0.29850746268656714,20,47,99
169,9298800_5553600,0.0,0,3,27
170,9065200_5688000,0.24,6,19,121
171,9054800_5682000,0.0,0,3,37
172,9145200_5819200,0.0,0,7,106
173,8493600_5767200,0.13445378151260504,16,103,599
174,9364400_5517200,0.13725490196078433,7,44,90
175,8496400_5769200,0.2796610169491525,33,85,479
176,9266000_5671600,0.037037037037037035,1,26,222
177,8499200_5768400,0.13095238095238096,11,73,51
178,9378000_5522800,0.0,0,6,34
179,8495200_5774800,0.10638297872340426,10,84,222
180,9290800_5555600,0.07142857142857142,1,13,115
181,9372800_5529200,0.17857142857142858,5,23,64
182,9061200_5685600,0.2,14,56,130
183,8336000_5495600,0.0,0,11,4
184,9280000_5869200,0.0,0,1,71
185,8336400_5490800,0.125,1,7,16
186,8494800_5772400,0.3883495145631068,40,63,306
187,9062800_5686400,0.16981132075471697,9,44,157
188,9064800_5683200,0.24324324324324326,9,28,156
189,8589600_5631200,0.19230769230769232,10,42,183
190,8368000_5548400,0.0,0,16,3
191,9063600_5686400,0.16666666666666666,4,20,147
