,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.102803738317757,11,96,567
2,9377200_5525600,0.0,0,2,11
3,9298000_5556400,0.25,1,3,17
4,8492000_5775200,0.6666666666666666,2,1,11
5,9366400_5525600,0.2463768115942029,17,52,46
6,8496000_5773200,0.15447154471544716,19,104,228
7,8953200_5840800,0.03333333333333333,2,58,365
8,9146800_5818800,0.05357142857142857,3,53,259
9,8590800_5530000,0.0,0,1,378
10,8814400_5994000,0.078125,5,59,105
11,8494000_5768000,0.1111111111111111,13,104,378
12,9054800_5682800,0.16666666666666666,1,5,50
13,9067600_5682800,0.0,0,4,31
14,8586800_5536800,0.14166666666666666,17,103,474
15,8593200_5631200,0.14864864864864866,11,63,189
16,8290000_5496800,0.25,21,63,88
17,9278000_5863200,0.11827956989247312,11,82,218
18,8333600_5491200,0.10714285714285714,3,25,10
19,8827600_5994800,0.30434782608695654,7,16,17
20,8582800_5540400,0.30434782608695654,7,16,91
21,8494400_5774400,0.09565217391304348,11,104,519
22,9364400_5522400,0.2564102564102564,10,29,32
23,8289600_5496800,0.11764705882352941,12,90,101
24,8287600_5498800,0.08163265306122448,8,90,435
25,8289200_5493200,0.2692307692307692,14,38,29
26,9067600_5680800,0.1746031746031746,11,52,156
27,9153600_5814400,0.08333333333333333,2,22,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.10869565217391304,5,41,70
30,8590000_5537600,0.0,0,22,76
31,9057200_5688800,0.03333333333333333,1,29,155
32,9268800_5668000,0.0,0,2,2
33,9066400_5686400,0.1,3,27,86
34,8290400_5494800,0.10638297872340426,10,84,344
35,8494800_5772800,0.2037037037037037,33,129,282
36,9066000_5677200,0.2,1,4,44
37,9064000_5680400,0.13953488372093023,6,37,77
38,9057600_5682800,0.21875,7,25,132
39,9302400_5561200,0.07547169811320754,4,49,310
40,8336800_5492800,0.016129032258064516,2,122,11
41,9067200_5687600,0.0,0,6,32
42,8507200_5767200,0.03125,1,31,112
43,8494000_5774800,0.1111111111111111,12,96,561
44,9064800_5678000,0.07142857142857142,1,13,18
45,8492000_5768000,0.15602836879432624,22,119,104
46,9054400_5684000,0.23684210526315788,9,29,12
47,9602400_6072800,0.13725490196078433,7,44,88
48,8338400_5491600,0.022222222222222223,1,44,1
49,9363600_5529200,0.14285714285714285,13,78,379
50,8590000_5540800,0.20833333333333334,20,76,486
51,8820800_5995200,0.0,0,3,8
52,9068400_5685600,0.0,0,1,13
53,9070800_5689600,0.0,0,11,35
54,8491200_5776400,0.0,0,2,4
55,9273600_5872000,0.0,0,5,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.023255813953488372,1,42,217
58,8826400_5996000,0.0,0,2,34
59,9154400_5812000,0.0,0,40,228
60,8493600_5768400,0.14393939393939395,19,113,187
61,9147600_5814800,0.0,0,4,119
62,9065600_5680400,0.07692307692307693,1,12,67
63,9150400_5820000,0.18446601941747573,19,84,116
64,8369200_5550400,0.021897810218978103,3,134,32
65,8495600_5780400,0.028985507246376812,2,67,227
66,9062000_5682800,0.40625,26,38,89
67,8491200_5772000,0.14285714285714285,11,66,374
68,9068000_5683200,0.0,0,26,103
69,8812400_5993200,0.6,6,4,9
70,9063200_5680400,0.2391304347826087,11,35,70
71,9059200_5691600,0.18518518518518517,10,44,277
72,8332800_5494000,0.0,0,15,174
73,8490400_5775600,0.08411214953271028,9,98,374
74,9067600_5688400,0.0,0,0,4
75,9066800_5684000,0.0,0,2,7
76,8334800_5494800,0.0,0,7,1
77,8492800_5776800,0.05555555555555555,6,102,292
78,8371200_5550800,0.0,0,33,1
79,9370800_5522800,0.16483516483516483,15,76,119
80,8290000_5498000,0.058823529411764705,5,80,264
