,Loc ID,HR PSNR,Lanczos PSNR,Bicubic PSNR,HR SSIM,Lanczos SSIM,Bicubic SSIM
3,8287200_5498000.png,18.08897787312337,19.410478250213686,19.479910073748396,0.12723892429319847,0.2239464098393695,0.2256597614933994
4,8287600_5497200.png,18.16679594081012,20.278325304142054,20.355299168825333,0.14692427828297064,0.24237084083787017,0.24530985087368537
5,8287600_5497600.png,17.62163761388593,20.011471483793066,20.091106925026914,0.15309655871610903,0.25606089494986145,0.2581003962184458
6,8288000_5498000.png,17.823681436793567,18.946121695525292,19.00517078263295,0.1335346741536779,0.22498317931208286,0.22755839365961328
7,8288000_5498800.png,17.465532877204176,18.3191384228542,18.36788762740085,0.1756655925280783,0.25185638538254324,0.2531482481739476
8,8288400_5495600.png,19.649410263229164,18.669026841441493,18.696893350827903,0.43365486960854266,0.4885017815233419,0.4909869395323598
9,8289600_5498000.png,16.386199300614976,16.910415530973452,16.970796628403534,0.11432215506400811,0.19193558377185105,0.1953959528351108
10,8289600_5498400.png,16.390228850942876,15.99429908112802,16.03275325980921,0.15758671644738623,0.22671180240455416,0.2282356289528387
11,8290000_5497200.png,15.11178674667645,14.012361710417169,14.05549620082734,0.15473581491428803,0.24625514663936268,0.24737208697477056
12,8290000_5498000.png,17.776057645816415,18.231785886021576,18.28302576291302,0.18317174201324757,0.25410577897026404,0.25623683857095897
13,8290400_5498800.png,16.588972579435737,13.493351575754208,13.51608868594791,0.2217460221592181,0.2806729933762513,0.28161537117015606
14,8291200_5497600.png,17.753404141251202,17.80006427013527,17.845291400297988,0.20096569023539543,0.26949907733962775,0.27156833152438936
15,8291600_5495600.png,18.20666718064492,18.723196715994096,18.7724892898705,0.1556153902895689,0.22874081747789413,0.22987993092825887
16,8291600_5496800.png,15.337605767476973,13.918676156683649,13.9481978518301,0.1599630224236908,0.23655710855079573,0.23718644408628453
17,8291600_5498000.png,17.6784918050809,17.64418499000773,17.682561859910255,0.160117767393243,0.24478816022824992,0.24604394407295624
