Step,l_g_gan,l_g_pix,l_g_percep,l_d_real,l_d_fake,out_d_fake,out_d_real,,,,
6300,0.015739467,0.000948306,1.367462635,0.026257304,0.024993937,-68.97067261,-65.8740387,,,,
6400,0.02409558,0.00099095,1.423710346,0.012972316,0.012927495,6.364809036,11.15802479,,,,
6500,0.014903907,0.001109609,1.394173384,0.146333933,0.146646991,-48.18775177,-45.49995041,,,,
6600,0.030568691,0.0009092,1.266981602,0.004281351,0.00422639,-19.29161453,-13.18638325,,,,
6700,0.034624692,0.001172888,1.405801773,0.007033328,0.00795481,-50.760849,-43.85089874,,,,
6800,0.033795923,0.001095109,1.474416733,0.00157793,0.00164045,20.9669838,27.72294998,,,,
6900,0.022808917,0.001124197,1.438409328,0.058690559,0.059664473,18.96495438,23.40838432,,,,
7000,0.021201815,0.001056075,1.501483083,0.010185417,0.01094952,-26.05691147,-21.83768272,,,,
7100,0.006109111,0.00101801,1.410464048,0.192006439,0.187218845,11.91955566,12.76215267,,,,
7200,0.037021801,0.001010682,1.429701567,0.002008203,0.001995514,-10.34195232,-2.941595554,,,,
7300,0.017701838,0.001142308,1.47712183,0.336901069,0.33478421,1.771901608,4.640583992,,,,
7400,0.020693677,0.001026098,1.431765556,0.018907601,0.0192804,-59.20444489,-55.10389709,,,,
7500,0.023374155,0.001061876,1.451881886,0.006918161,0.006865195,-7.943655968,-3.282608509,,,,
7600,0.01583885,0.001058378,1.425644159,0.024739871,0.025522646,-38.18101501,-35.06350708,,,,
7700,0.037394375,0.001094993,1.406667471,0.000856128,0.000950567,-44.65226746,-37.1751976,,,,
7800,0.044400625,0.000945758,1.409831047,0.024051545,0.023829335,8.595141411,17.42738724,,,,
7900,0.014854715,0.001183932,1.414481282,0.226580203,0.22668305,-12.07034302,-9.552662849,,,,
8000,0.094596222,0.00093831,1.346160173,1.21E-07,1.49E-07,-33.69208527,-14.77284145,,,,
8100,0.005543916,0.000998613,1.374408484,0.213804811,0.215802372,-26.28901672,-25.60984039,,,,
8200,0.026721215,0.001074668,1.433146,0.002506174,0.002531285,-44.69836426,-39.35915756,,,,
8300,0.026699405,0.001059929,1.396440268,0.003842314,0.003572858,-60.23196793,-54.8995018,,,,
8400,0.037696015,0.00117231,1.473440647,0.00080938,0.000822058,-38.9800415,-31.44246864,,,,
8500,0.039352883,0.000991325,1.358977556,0.000950427,0.000959492,-11.61505127,-3.746385098,,,,
8600,0.049029686,0.000923623,1.328110456,0.000157311,0.000149863,-42.25592041,-32.45029449,,,,
8700,0.059471015,0.001123795,1.428505421,1.56E-05,1.60E-05,-13.57117653,-1.67700386,,,,
8800,0.008551499,0.001069097,1.491502285,0.125531182,0.123348974,-35.45192337,-33.99050522,,,,
8900,0.040037528,0.000928119,1.377644181,0.001339682,0.001325137,-46.78342056,-38.77857971,,,,
9000,0.038243171,0.001066832,1.364194751,0.000326595,0.000331253,-14.67793846,-7.029962063,,,,
9100,0.025104025,0.00097426,1.325405955,0.008816459,0.008557995,49.33535767,54.33879089,,,,
9200,0.033390481,0.001069199,1.438124895,0.001781326,0.001806113,-56.03993988,-49.36543274,,,,
9300,0.029216729,0.000993825,1.400421858,0.026603982,0.026161833,-57.2824173,-51.49183655,,,,
9400,0.022557028,0.001191445,1.419906378,0.020229774,0.019296367,-37.35606003,-32.88418198,,,,
9500,0.029758574,0.000947646,1.320701599,0.001589862,0.001563817,28.68015671,34.62871552,,,,
9600,0.035218328,0.001072019,1.466311574,0.002603544,0.002314789,40.1529007,47.19164276,,,,
9700,0.049878925,0.001092066,1.385237217,0.000849513,0.000815034,-51.75618744,-41.78206635,,,,
9800,0.018528376,0.000958146,1.393248081,0.022633934,0.02221741,-24.94167328,-21.28084946,,,,
9900,0.025379583,0.001012087,1.337642908,0.03878101,0.037957855,2.890212059,7.889390469,,,,
10000,0.009626973,0.001120493,1.380422354,0.093417168,0.092424661,-23.69494247,-21.95539093,,,,
10100,0.022263868,0.001035272,1.396795273,0.021996096,0.022373701,-31.51190186,-27.10350037,,,,
10200,0.036438331,0.001048881,1.349116564,0.000846949,0.000839002,-30.59300804,-23.30702782,,,,
10300,0.04631719,0.001130224,1.438905001,0.000395193,0.000361103,-20.76382637,-11.50114441,,,,
10400,0.041217893,0.001033335,1.376409292,0.001488484,0.001494595,-27.82891273,-19.58831596,,,,
10500,0.035658326,0.000985871,1.379206657,0.000423089,0.000411127,-35.47129059,-28.34046173,,,,
10600,0.046471022,0.001148851,1.359391689,0.00013437,7.10E-05,-16.46697617,-7.172976017,,,,
10700,0.018419759,0.00105427,1.401638865,0.015811201,0.016009144,13.94417572,17.59630585,,,,
10800,0.026394252,0.00115899,1.436340451,0.026073767,0.026013227,-52.07270813,-46.84594727,,,,
10900,0.055879675,0.001036804,1.373492599,0.000204974,0.000198843,-14.02330589,-2.847773314,,,,
11000,0.042773865,0.001138883,1.445284843,0.000326103,0.000294889,-10.0707283,-1.516575813,,,,
11100,0.029884458,0.001088812,1.412379146,0.001430186,0.001420683,0.373679638,6.347720146,,,,
11200,0.072721928,0.001071824,1.485496879,2.89E-07,2.87E-07,-30.54287338,-15.99848747,,,,
11300,0.043063711,0.001011909,1.370634794,0.000157194,0.000147569,-59.5798645,-50.9674263,,,,
11400,0.036952935,0.001106055,1.392136216,0.000380788,0.000348843,-6.289934158,1.099923372,,,,
11500,0.046020895,0.001025165,1.41078794,7.72E-05,7.18E-05,28.339571,37.54360199,,,,
11600,0.024583306,0.001248466,1.425309062,0.110897958,0.11141444,16.83691406,21.53126526,,,,
11700,0.013419511,0.000986632,1.325744987,0.200992435,0.199602291,-21.45516586,-19.17185974,,,,
11800,0.043557398,0.00110574,1.495885134,0.000621355,0.000605213,8.448513031,17.1587677,,,,
11900,0.013985757,0.000950424,1.359336853,0.20335649,0.201201558,-27.58715057,-25.19455719,,,,
12000,0.047961771,0.001226805,1.514918804,0.000277095,0.000283506,-10.94866943,-1.356874108,,,,
12100,0.046311021,0.001024796,1.469174385,0.000115878,0.000112254,-11.1510849,-1.889108777,,,,
12200,0.031605631,0.001129038,1.429610848,0.000957336,0.000970245,-35.96046448,-29.64126587,,,,
12300,0.024032746,0.001111143,1.452862263,0.005883032,0.006918973,-0.314760745,4.47898674,,,,
12400,0.037551515,0.0011191,1.402775168,0.00086738,0.000582148,-7.987579823,-0.478725433,,,,
12500,0.043844339,0.001093119,1.395110726,0.000451028,0.000449893,22.60456848,31.37253571,,,,
12600,0.010528417,0.001074028,1.441476345,0.321063787,0.322921276,-18.94311333,-17.48141479,,,,
12700,0.047242738,0.00104883,1.440759897,4.48E-05,4.53E-05,-34.56079102,-25.11233521,,,,
12800,0.039255828,0.001113804,1.396357298,0.003065089,0.003144407,-18.41413116,-10.56917572,,,,
12900,0.051910184,0.001032914,1.372430563,2.80E-05,2.73E-05,-6.323672295,4.058310032,,,,
13000,0.050711229,0.001066795,1.418992519,3.13E-05,2.82E-05,4.287819862,14.43000603,,,,
13100,0.044107951,0.00092656,1.364527822,8.02E-05,8.03E-05,-50.22637177,-41.40494156,,,,
13200,0.02087627,0.00106393,1.415899277,0.037395004,0.037473742,-14.25582981,-10.1554451,,,,
13300,0.020604314,0.001017353,1.386612773,0.263697207,0.262793928,-36.83460617,-33.24023438,,,,
13400,0.034829818,0.001018656,1.464080811,0.001942692,0.001769144,-16.84983826,-9.887586594,,,,
13500,0.041827492,0.001142139,1.485326767,0.000141894,0.00015802,-5.541059017,2.824139595,,,,
13600,0.02926136,0.000939417,1.386561871,0.003206734,0.003247622,31.53393555,37.37975311,,,,
13700,0.066786364,0.000967241,1.452114344,1.49E-06,1.61E-06,-17.69340897,-4.336139679,,,,
13800,0.040512197,0.000987374,1.395296812,0.000157812,0.000158742,6.051825047,14.15394783,,,,
13900,0.039550029,0.001038832,1.430727363,0.053410672,0.089013062,-65.37371063,-57.60612869,,,,
14000,0.033726975,0.001001378,1.385918736,0.001520921,0.001473432,6.741223335,13.48362446,,,,
14100,0.036531977,0.00099285,1.344979763,0.010155306,0.009586604,1.145414114,8.432067871,,,,
14200,0.050647084,0.001146922,1.380206108,2.17E-05,2.13E-05,-22.76573181,-12.63635731,,,,
14300,0.030017018,0.001089682,1.443344593,0.005004823,0.005016393,19.11975098,25.11313248,,,,
14400,0.013823992,0.001073782,1.445197582,0.399075359,0.392349124,-61.47888947,-59.50551605,,,,
14500,0.049248002,0.001127084,1.400350332,0.000109468,0.000125972,6.560563564,16.40992928,,,,
14600,0.049834806,0.001053173,1.529829979,0.00016053,0.000172291,-23.51040649,-13.54377747,,,,
14700,0.045620859,0.001037401,1.342844009,0.000102799,0.000110149,18.32543564,27.44939613,,,,
14800,0.025647262,0.001003247,1.321650505,0.003214839,0.003360778,8.477893829,13.60077095,,,,
14900,0.057048604,0.001116611,1.482144475,8.29E-06,9.01E-06,-65.59257507,-54.18287659,,,,
15000,0.042197488,0.001102547,1.381961346,0.003267824,0.003209496,9.806400299,18.23942184,,,,
15100,0.023083303,0.001139506,1.398573875,0.010622467,0.0114762,7.960638046,12.55520058,,,,
15200,0.026864301,0.001053323,1.342089534,0.003391291,0.003635447,-40.51973724,-35.15390015,,,,
15300,0.041749865,0.00098994,1.346591473,0.00013021,0.000132505,6.879230499,15.22894096,,,,
15400,0.028507829,0.001118402,1.464713573,0.002326883,0.002629552,-46.73103333,-41.03442383,,,,
15500,0.044919252,0.001131982,1.587019682,0.000196829,0.000171937,-12.07789612,-3.094415665,,,,
15600,0.033021644,0.001074022,1.43053484,0.001481651,0.001462672,-22.50161552,-15.90023136,,,,
15700,0.020895926,0.001029566,1.361710787,0.016738251,0.015934028,-4.374484539,-0.227971554,,,,
15800,0.040080719,0.001007687,1.451348305,0.006167847,0.006418508,-47.4641037,-39.4605484,,,,
15900,0.021736162,0.001041302,1.486044049,0.213471264,0.21549733,5.010986328,8.929249763,,,,
16000,0.057567343,0.001185332,1.425535679,0.018831104,0.018058728,-22.23488998,-10.75831127,,,,
16100,0.055878058,0.001073756,1.469833136,0.000517934,0.000495227,-32.18945694,-21.01485825,,,,
16200,0.025223639,0.001101735,1.487473249,0.003437273,0.003456379,10.31664467,15.35447884,,,,
16300,0.03860876,0.001157958,1.451665998,0.000294347,0.000299219,-20.30908966,-12.58793163,,,,
16400,0.025626086,0.001049726,1.45173049,0.003747584,0.003494006,24.22753906,29.3455162,,,,
16500,0.041742459,0.001030859,1.45640564,0.000138666,0.000133679,-44.59958649,-36.25136566,,,,
16600,0.020592466,0.001076225,1.399428964,0.010941663,0.010459672,-54.50880432,-50.41171265,,,,
16700,0.045233712,0.000945868,1.371172905,8.17E-05,7.89E-05,-23.48599815,-14.43941689,,,,
16800,0.05398741,0.001048334,1.419198513,1.08E-05,1.11E-05,4.514578342,15.31203938,,,,
16900,0.039502397,0.001110376,1.359018087,0.000479979,0.000463527,-39.81455994,-31.9150219,,,,
17000,0.021844864,0.001017069,1.374683619,0.007624088,0.007396211,19.38088799,23.73484039,,,,
17100,0.042052321,0.000979395,1.318558097,0.000388909,0.000383124,-16.57684708,-8.167153358,,,,
17200,0.034751989,0.000997625,1.283748627,0.000570284,0.000569347,-30.73176765,-23.78250885,,,,
17300,0.03117797,0.00094847,1.316454768,0.001066588,0.00107739,3.464730263,9.698181152,,,,
17400,0.022052146,0.001055748,1.373664498,0.022142721,0.021842688,-13.81154823,-9.445104599,,,,
17500,0.059198909,0.001115798,1.490087032,7.15E-06,7.31E-06,-6.73972559,5.100041389,,,,
17600,0.046336085,0.001097325,1.478016376,0.000141101,0.000140347,-12.32558823,-3.058653355,,,,
17700,0.017326981,0.001084931,1.440197229,0.053774875,0.053470761,-30.63437271,-27.27622223,,,,
17800,0.023636492,0.000997758,1.435604095,0.139464781,0.144373134,-58.58953476,-54.14607239,,,,
17900,0.029662054,0.001277928,1.377522111,0.00574589,0.005414102,1.735488057,7.656739235,,,,
18000,0.022177871,0.000973087,1.359498858,0.008179446,0.007749313,0.601890743,5.021535873,,,,
18100,0.029978303,0.001215436,1.400823593,0.001450655,0.001476158,5.613795757,11.60653019,,,,
18200,0.034102574,0.00097689,1.372413754,0.009618039,0.00980445,16.95752335,23.7586174,,,,
18300,0.021882884,0.001052766,1.384717345,0.170858175,0.168467358,-76.31480408,-72.27754211,,,,
18400,0.033511363,0.000956945,1.405446768,0.000877496,0.000935527,-1.11034441,5.590115547,,,,
18500,0.032790452,0.001057077,1.364181519,0.059929863,0.062666602,-27.4631958,-21.02770042,,,,
18600,0.033971168,0.001120235,1.455332041,0.000595063,0.000590038,-63.35401917,-56.56096649,,,,
18700,0.041277464,0.001137841,1.48251009,0.000728624,0.000816489,10.82225037,19.07619858,,,,
18800,0.035857011,0.001027973,1.395070553,0.00607436,0.005706943,-12.65579319,-5.496171951,,,,
18900,0.038575336,0.001050169,1.354101062,0.000565389,0.000520822,-22.99198914,-15.27800655,,,,
19000,0.090927489,0.001108379,1.418741226,5.73E-06,6.05E-06,-18.71424866,-0.528761744,,,,
19100,0.02680555,0.001043641,1.351466179,0.02788757,0.028364889,-39.885746,-34.58088684,,,,
19200,0.050365441,0.0009603,1.275967598,5.24E-05,4.84E-05,-22.25296593,-12.17997742,,,,
19300,0.049065262,0.001087786,1.407191038,5.82E-05,7.67E-05,22.05528641,31.86820221,,,,
19400,0.037332539,0.001050831,1.372759104,0.420589685,0.421663404,-61.07946777,-54.45521545,,,,
19500,0.051396623,0.001012688,1.384002566,0.001425564,0.001405613,43.85435486,54.13084412,,,,
19600,0.08917474,0.001084019,1.411392689,3.20E-06,3.16E-06,-11.99616432,5.838776588,,,,
19700,0.046166081,0.001092028,1.400944948,0.000114416,0.000114484,-38.66211319,-29.42912483,,,,
19800,0.027924392,0.001032629,1.384540081,0.00649805,0.006661498,40.75440979,46.3261261,,,,
19900,0.05052013,0.001027447,1.33298707,3.16E-05,3.23E-05,-65.93215942,-55.82819748,,,,
20000,0.020959755,0.0011532,1.421357751,1.883644462,1.883672357,-1.474271297,-1.049636841,,,,
20100,0.047333896,0.001090529,1.445590734,4.18E-05,4.24E-05,1.334863782,10.80155945,,,,
20200,0.022003448,0.000971012,1.256786466,0.006793586,0.007032674,-20.13888168,-15.75201893,,,,
20300,0.046596453,0.001000621,1.40395999,4.64E-05,4.66E-05,-33.84004211,-24.52084541,,,,
20400,0.060331278,0.0012956,1.616984725,3.04E-06,3.04E-06,-13.93745995,-1.871209979,,,,
20500,0.035951331,0.001176614,1.504754066,0.000434548,0.000425652,-0.760775685,6.428630829,,,,
20600,0.017208461,0.001006925,1.361385345,0.01760821,0.017869435,-13.33623695,-9.93002224,,,,
20700,0.000119886,0.00117769,1.680380821,1.894053817,1.894052982,18.31590843,14.55177879,,,,
20800,0.049622521,0.001015508,1.404155016,2.93E-05,2.62E-05,11.1637249,21.08817482,,,,
20900,0.021467095,0.000960965,1.324706793,0.007377442,0.007285002,13.38042068,17.65917778,,,,
21000,0.033660315,0.001011561,1.367065191,0.000655512,0.000661018,-14.13740349,-7.406657219,,,,
21100,0.061679117,0.000985974,1.340615273,2.57E-06,2.36E-06,-29.67331314,-17.3374939,,,,
21200,0.04665044,0.000985238,1.449457645,5.33E-05,4.77E-05,19.07972336,28.40970993,,,,
21300,0.072822832,0.001083038,1.339015841,2.46E-07,2.61E-07,-34.24797058,-19.68340302,,,,
21400,0.01388414,0.000974348,1.370545149,0.034202229,0.034479734,-25.75910568,-23.05096054,,,,
21500,0.048915002,0.00108879,1.338187814,2.96E-05,3.01E-05,-1.870992422,7.911948204,,,,
21600,0.055907391,0.00096616,1.41588974,7.47E-06,7.37E-06,-9.797359467,1.384103298,,,,
21700,0.024327677,0.000982192,1.436416149,0.004105797,0.004124078,1.85780406,6.715109825,,,,
21800,0.037091948,0.001019719,1.366918564,0.00032619,0.000315633,-2.637345791,4.780402184,,,,
21900,0.027241334,0.000965225,1.381785631,0.002387832,0.002268774,-10.33198833,-4.888378143,,,,
22000,0.046573184,0.001075922,1.385672092,4.76E-05,4.79E-05,15.17805099,24.49259186,,,,
22100,0.041814193,0.000984103,1.287319183,0.000128733,0.000125755,1.074115634,9.436699867,,,,
22200,0.041958548,0.001272576,1.457866192,0.000123609,0.000121491,21.51066208,29.90212631,,,,
22300,0.054106183,0.001045385,1.347941399,1.10E-05,1.07E-05,0.418772161,11.23998642,,,,
22400,0.082284592,0.000994428,1.444663763,4.47E-08,4.47E-08,-2.388337612,14.06858063,,,,
22500,0.047494337,0.001115489,1.376427412,4.42E-05,4.31E-05,13.56290436,23.06168556,,,,
22600,0.031933349,0.00100042,1.369906306,0.000932455,0.000940801,-28.01198578,-21.62718964,,,,
22700,0.05386883,0.000936713,1.424629211,1.13E-05,1.15E-05,1.194026947,11.96777058,,,,
22800,0.059326768,0.000996611,1.399087548,4.62E-06,4.05E-06,15.94310284,27.80844688,,,,
22900,0.040482022,0.001040923,1.333275318,0.000160036,0.000159768,31.15686035,39.25294495,,,,
23000,0.035249796,0.001009019,1.309608221,0.000454715,0.00051173,15.27485847,22.32385063,,,,
23100,0.047371313,0.001099129,1.445043921,4.27E-05,4.52E-05,43.33649445,52.81066895,,,,
23200,0.037422672,0.001214855,1.495543003,0.000299106,0.000326159,20.8863678,28.3702774,,,,
23300,0.035013326,0.001000532,1.381087542,0.000514127,0.000508982,-19.68307877,-12.68143654,,,,
23400,0.05288364,0.001153715,1.343867779,1.35E-05,1.54E-05,42.70934677,53.28604507,,,,
23500,0.058598585,0.000987759,1.226685047,4.33E-06,4.40E-06,3.062004089,14.78171253,,,,
23600,0.032993399,0.001186499,1.48095727,0.000788918,0.000762409,21.78695297,28.38408089,,,,
23700,0.054542996,0.001041847,1.364176512,1.01E-05,9.79E-06,-32.556427,-21.64784813,,,,
23800,0.045539886,0.001151556,1.427239776,7.23E-05,6.05E-05,31.91413116,41.02197647,,,,
23900,0.04802449,0.000946818,1.260245085,3.81E-05,3.61E-05,3.757863522,13.36268806,,,,
24000,0.02560674,0.000958732,1.375139236,0.003409454,0.003146841,55.70993805,60.82472992,,,,
24100,0.029174585,0.001089508,1.332912683,0.001625709,0.001568314,12.10687542,17.93859863,,,,
24200,0.054355226,0.001102842,1.464537501,1.11E-05,1.06E-05,-15.59894085,-4.727917194,,,,
24300,0.042876177,0.000935594,1.357265592,0.000105476,0.00010883,26.16284943,34.73786926,,,,
24400,0.042310156,0.000984371,1.228407025,0.00011561,0.000110304,12.17729759,20.63910294,,,,
24500,0.007861318,0.000974978,1.29931736,0.130727336,0.135973692,34.56088638,35.86644745,,,,
24600,0.079150796,0.000951029,1.503058672,6.71E-08,7.08E-08,10.67300892,26.50316811,,,,
24700,0.049921278,0.001000352,1.519304991,2.46E-05,2.52E-05,-7.531085491,2.453120708,,,,
24800,0.051871948,0.001180183,1.448335767,1.68E-05,1.89E-05,33.26651001,43.64086151,,,,
24900,0.000790066,0.000964684,1.306561708,0.992639244,0.992695212,4.775877476,2.948556185,,,,
25000,0.072553501,0.001081763,1.477448463,2.76E-07,2.61E-07,5.154194832,19.6648941,,,,
25100,0.021662869,0.001058999,1.432165027,0.007501596,0.008748676,-20.71814156,-16.40181732,,,,
25200,0.02701072,0.00106369,1.268733501,0.002560609,0.002504734,51.65063477,57.04771423,,,,
25300,0.035737365,0.001108613,1.38240993,0.000423879,0.000423177,28.13705635,35.28368378,,,,
25400,0.023415625,0.001034515,1.460052252,0.00501243,0.004883808,-48.96294022,-44.289711,,,,
25500,0.005701334,0.001109853,1.472523928,0.209335566,0.208022326,35.32187653,36.04478455,,,,
25600,0.039741948,0.001117881,1.487110496,0.000200205,0.00019409,38.58522797,46.5332222,,,,
25700,0.028005268,0.000854661,1.232097626,0.001994789,0.001966885,54.90807724,60.50516891,,,,
25800,0.029631898,0.000982851,1.237691402,0.001411852,0.001415361,-15.92698574,-10.00343323,,,,
25900,0.059314162,0.000914553,1.321306825,3.85E-06,3.82E-06,15.91921806,27.78204346,,,,
26000,0.054460015,0.001125535,1.694722652,1.01E-05,1.03E-05,-6.458837032,4.433146,,,,
26100,0.014195158,0.001046496,1.377263546,0.033036098,0.031767085,15.38692665,18.1611557,,,,
26200,0.034966465,0.001208519,1.4201653,0.000483035,0.000482552,23.55017471,30.54250336,,,,
26300,0.018592253,0.001118521,1.468586445,0.013603987,0.012979377,16.30047226,19.99234009,,,,
26400,0.039398164,0.001079943,1.407842517,0.000224901,0.00020829,-6.610897064,1.268302202,,,,
26500,0.045064673,0.000949084,1.291339278,6.88E-05,6.55E-05,11.40284348,20.41564369,,,,
26600,0.056354068,0.001099587,1.406808615,6.63E-06,7.00E-06,3.125857353,14.39665794,,,,
26700,0.039035,0.001000649,1.414228916,0.000234164,0.000213878,2.686858654,10.49341106,,,,
26800,0.044821993,0.000875322,1.264791131,7.64E-05,7.25E-05,-45.154953,-36.19070435,,,,
26900,0.067391321,0.001015554,1.427120924,7.75E-07,8.12E-07,21.04940414,34.527668,,,,
27000,0.019369848,0.000855219,1.262185812,0.010944982,0.011495043,9.854877472,13.70640755,,,,
27100,0.043029122,0.001120296,1.475904226,0.000100895,9.73E-05,27.0259285,35.63155365,,,,
27200,0.035056543,0.001229712,1.368854642,0.000482752,0.000468482,24.13288498,31.14324188,,,,
27300,0.039521627,0.001098351,1.395787954,0.000196454,0.000194612,11.26392174,19.16785622,,,,
