,0
0,0.0
1,0.36842105
2,0.520332
3,0.26066124
4,0.058371738
5,0.39146706
6,1.2955327
7,0.15237302
8,0.6381579
9,0.11751018
10,0.2820101
11,0.06893688
12,0.43876597
13,0.82171154
14,0.2917055
15,0.0
16,0.77991456
17,0.7252312
18,1.0857143
19,0.19303235
20,0.0
21,0.37753135
22,0.2966725
23,0.117255166
24,0.14976543
25,0.379574
26,0.17944011
27,0.43227878
28,0.67609876
29,0.99310344
30,0.80209893
31,0.0
32,0.74096847
33,0.18685715
34,0.13031915
35,0.4400607
36,0.46818465
37,0.13116474
38,0.407319
39,0.41424417
40,0.27646735
41,0.69717515
42,0.24781732
43,0.0
44,0.8546748
45,1.0776303
46,0.93962264
47,0.006259781
48,0.46486485
49,0.7926531
50,0.3355776
51,0.3075
52,0.40543258
53,0.33216783
54,0.26648977
55,0.21673343
56,0.11909989
57,0.17090657
58,0.6504098
59,0.7632111
60,0.6413869
61,0.2841629
62,0.34881267
63,0.54334366
64,0.47547755
65,0.20555846
66,0.5574092
67,0.8362832
68,0.3437788
69,0.09700665
70,0.35057035
71,0.20875634
72,0.13710618
73,0.31018808
74,0.6840117
75,0.83165663
76,0.8092493
77,0.17417721
78,0.0
79,0.55451894
80,0.20525831
81,0.8209459
82,0.1392157
83,0.106582336
84,0.48267972
85,0.2036421
86,0.087892696
87,0.16886689
88,0.2580013
89,0.385446
90,0.73949814
91,0.67574966
92,0.62451047
93,0.4217298
94,0.40376106
95,0.12205882
96,0.29850745
97,0.5524332
98,0.7238454
99,1.2164948
100,0.3894428
101,0.05932737
102,0.086592175
103,0.19892696
104,0.38129225
105,0.25435355
106,0.42246094
107,0.43415588
108,0.48846704
109,0.66519564
110,0.5677111
111,0.4022385
112,0.40987813
113,0.58483607
114,0.58875394
115,0.90909094
116,0.7246596
117,0.7469282
118,0.57879615
119,0.5206192
120,0.34080717
121,0.13004592
122,0.104741685
123,0.19096
124,0.3897059
125,0.7012406
126,0.6749639
127,0.6583535
128,0.8547709
129,0.7592593
130,0.5172455
131,0.6021814
132,0.91160744
133,0.96093166
134,0.8375519
135,1.0464933
136,0.7711291
137,0.72096056
138,0.2556473
139,0.3866844
140,0.22855635
141,0.23224418
142,0.14669676
143,0.35846516
144,0.6927083
145,0.8865043
146,0.80825216
147,0.8677249
148,0.72648793
149,0.839636
150,0.48770717
151,0.7501643
152,0.8548084
153,0.91283727
154,1.166277
155,0.88601935
156,0.91776025
157,0.48265725
158,0.39257812
159,0.4476484
160,0.41403833
161,0.46984515
162,0.3043799
163,0.5995729
164,0.80875957
165,1.0863506
166,0.8885319
167,0.79716563
168,0.8525806
169,0.91009176
170,0.77205056
171,0.7492864
172,0.8943726
173,0.8339405
174,0.7271281
175,0.7097278
176,0.60656476
177,0.6839395
178,0.36272782
179,0.2699013
180,0.31411114
181,0.5938285
182,0.6336769
183,0.5969527
184,1.0190386
185,0.8312854
186,0.6406891
187,1.046252
188,0.7551908
189,1.0389818
190,0.6580128
191,0.6270764
192,0.82985955
193,0.74626863
194,0.8645386
195,0.754632
196,0.7982827
197,0.86076206
198,0.10977608
199,0.7722446
200,0.7428224
201,0.50752723
202,0.647336
203,0.84007186
204,0.810788
205,0.75082767
206,1.0045031
207,0.75134134
208,0.8793495
209,0.8263728
210,0.9330934
211,0.75327104
212,0.7600242
213,0.7853725
214,0.8853585
215,0.86500996
216,0.7482317
217,0.2815759
218,0.6316244
219,0.57736975
220,0.8197832
221,0.69002026
222,0.6631643
223,0.714156
224,0.878059
225,0.85491073
226,0.96503764
227,1.0324064
228,0.58597845
229,0.44406903
230,0.9612805
231,0.74958193
232,0.84915596
233,0.7685298
234,0.7484917
235,0.7827893
236,0.2332391
237,0.44529575
238,0.54226327
239,0.4706098
240,0.7675711
241,0.76435983
242,0.6093902
243,0.7354266
244,0.8739006
245,0.8929288
246,0.9413604
247,0.7810337
248,0.51997364
249,0.6571708
250,0.66614485
251,0.63554966
252,0.79208136
253,0.67899543
254,0.36304638
255,0.4647406
256,0.735242
257,0.7589555
258,0.9101547
259,0.7475753
260,0.8338442
261,0.8119135
262,0.5994835
263,0.7825094
264,0.6706598
265,0.87198013
266,0.9060629
267,0.9505284
268,1.0041305
269,1.0542544
270,0.7163109
271,0.74583334
272,0.77192146
273,0.8210274
274,1.0550244
275,0.33319137
276,0.418229
277,0.78791577
278,0.66888964
279,0.7913889
280,0.9130921
281,0.483509
282,0.5457407
283,0.72936857
284,0.8570265
285,0.89316964
286,0.84003776
287,0.8972381
288,0.825075
289,0.8848309
290,1.038777
291,0.68064517
292,0.73080826
293,0.7086315
294,0.8138638
295,1.0278972
296,0.8484849
297,0.23400144
298,0.28959075
299,0.61787903
300,0.66299665
301,0.60054225
302,0.69066566
303,0.986671
304,0.82599217
305,0.76703686
306,1.1447313
307,0.96610636
308,0.66844714
309,0.8457609
310,0.7866586
311,0.94202644
312,0.71538097
313,0.96280164
314,0.8059645
315,0.73321265
316,0.65373933
317,0.58305675
318,0.73354965
319,0.79546535
320,0.7574527
321,0.9068879
322,0.7950024
323,0.8551305
324,0.68304944
325,0.35052854
326,0.5971535
327,0.5107616
328,0.5952381
329,0.94952095
330,0.8784767
331,1.0234092
332,0.81377155
333,0.8736559
334,0.61792326
335,0.68549484
336,0.942008
337,0.8165266
338,0.69525343
339,0.9394117
340,0.6336804
341,0.7185753
342,0.7210366
343,0.5081911
344,0.67535233
345,0.68269867
346,0.43755326
347,0.7766659
348,0.5736219
349,0.5169896
350,0.5262911
351,0.6169025
352,0.6849445
353,0.6254053
354,0.7211177
355,0.7860286
356,0.6045007
357,0.56116533
358,0.6818027
359,0.70515215
360,0.79550976
361,0.5661499
362,0.677579
363,0.7346347
364,0.725781
365,0.6057954
366,0.65352356
367,0.7896216
368,0.75605804
369,0.7537674
370,0.72198695
371,1.0256411
372,1.0212471
373,0.9489562
374,0.5896925
375,0.47818884
376,0.6220232
377,0.712805
378,0.7077419
379,0.7632974
380,0.6826652
381,0.7761794
382,0.7226719
383,0.77204776
384,0.69631404
385,0.7350167
386,0.6403006
387,0.66778064
388,0.43593824
389,0.6352791
390,1.0208043
391,0.7904788
392,0.8986675
393,0.6668276
394,0.7412515
395,0.71795714
396,1.1995552
397,0.71742284
398,0.77326745
399,0.6922771
400,1.0395054
401,0.84652704
402,0.7204861
403,0.7396482
404,0.49390936
405,0.6409091
406,0.5619576
407,0.79424405
408,0.6116283
409,0.7297198
410,0.669184
411,0.79965144
412,0.6493488
413,0.8403111
414,0.81246555
415,0.5102336
416,0.37447852
417,0.7383013
418,0.82263
419,0.8745746
420,0.7516154
421,0.6419714
422,0.69727504
423,0.75474495
424,0.26174498
425,0.77706474
426,0.82907414
427,0.7038715
428,1.1037768
429,0.7817149
430,0.6802351
431,0.6796537
432,0.67508703
433,0.49564806
434,0.72742057
435,0.6823004
436,0.74254596
437,0.5500326
438,0.4600877
439,0.66669184
440,0.77774864
441,0.689431
442,0.6450719
443,0.57459337
444,0.7030421
445,0.6380842
446,0.6182869
447,0.46972457
448,0.7143318
449,0.6383255
450,0.71696615
451,0.7291705
452,0.7832952
453,0.956495
454,0.7185603
455,0.8202029
456,0.7394191
457,0.66625154
458,0.8226037
459,0.84855425
460,0.8554131
461,1.0055453
462,0.6916442
463,0.73909914
464,0.76647484
465,0.6214838
466,0.87728685
467,0.75516146
468,0.60357815
469,0.63164
470,0.60548526
471,0.5412638
472,0.58316696
473,0.5674489
474,0.8838099
475,0.7092224
476,0.81792784
477,0.6781832
478,0.644899
479,0.5335874
480,0.7052847
481,0.6540957
482,0.73070294
483,0.8193778
484,0.774514
485,0.7947787
486,0.94398266
487,0.85009277
488,0.9210913
489,0.47030497
490,0.7351995
491,0.69677645
492,0.70071405
493,0.34208658
494,0.800227
495,0.918231
496,0.6391448
497,0.8278191
498,0.8636751
499,0.8732637
500,0.7015166
501,0.85075885
502,0.6804702
503,0.72232497
504,0.61381584
505,0.7160439
506,0.5879859
