,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,0,1
1,8493200_5774800,0.0967741935483871,9,84,567
2,9377200_5525600,0.0,0,1,11
3,9298000_5556400,0.0,0,2,17
4,8492000_5775200,1.0,3,0,11
5,9366400_5525600,0.24561403508771928,14,43,46
6,8496000_5773200,0.10576923076923077,11,93,228
7,8953200_5840800,0.08620689655172414,5,53,365
8,9146800_5818800,0.09615384615384616,5,47,259
9,8590800_5530000,0.0,0,0,378
10,8814400_5994000,0.06060606060606061,2,31,105
11,8494000_5768000,0.14814814814814814,16,92,378
12,9054800_5682800,0.0,0,6,50
13,9067600_5682800,0.0,0,0,31
14,8586800_5536800,0.13445378151260504,16,103,474
15,8593200_5631200,0.13114754098360656,8,53,189
16,8290000_5496800,0.2976190476190476,25,59,88
17,9278000_5863200,0.06944444444444445,5,67,218
18,8333600_5491200,0.15384615384615385,4,22,10
19,8827600_5994800,0.2631578947368421,5,14,17
20,8582800_5540400,0.15384615384615385,2,11,91
21,8494400_5774400,0.09022556390977443,12,121,519
22,9364400_5522400,0.13043478260869565,3,20,32
23,8289600_5496800,0.15126050420168066,18,101,101
24,8287600_5498800,0.1111111111111111,11,88,435
25,8289200_5493200,0.3333333333333333,14,28,29
26,9067600_5680800,0.07272727272727272,4,51,156
27,9153600_5814400,0.125,5,35,110
28,9071200_5683200,0.0,0,0,130
29,9062000_5686400,0.21951219512195122,9,32,70
30,8590000_5537600,0.05555555555555555,1,17,76
31,9057200_5688800,0.2,3,12,155
32,9268800_5668000,0.0,0,3,2
33,9066400_5686400,0.09090909090909091,2,20,86
34,8290400_5494800,0.10309278350515463,10,87,344
35,8494800_5772800,0.24242424242424243,32,100,282
36,9066000_5677200,0.08333333333333333,1,11,44
37,9064000_5680400,0.2857142857142857,10,25,77
38,9057600_5682800,0.13157894736842105,5,33,132
39,9302400_5561200,0.0851063829787234,4,43,310
40,8336800_5492800,0.01904761904761905,2,103,11
41,9067200_5687600,0.0,0,2,32
42,8507200_5767200,0.027777777777777776,1,35,112
43,8494000_5774800,0.07692307692307693,8,96,561
44,9064800_5678000,0.16666666666666666,1,5,18
45,8492000_5768000,0.20754716981132076,22,84,104
46,9054400_5684000,0.3448275862068966,10,19,12
47,9602400_6072800,0.13559322033898305,8,51,88
48,8338400_5491600,0.15,6,34,1
49,9363600_5529200,0.12941176470588237,11,74,379
50,8590000_5540800,0.17708333333333334,17,79,486
51,8820800_5995200,0.0,0,2,8
52,9068400_5685600,0.0,0,0,13
53,9070800_5689600,0.0,0,5,35
54,8491200_5776400,0.0,0,1,4
55,9273600_5872000,0.0,0,4,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.08695652173913043,2,21,217
58,8826400_5996000,0.0,0,1,34
59,9154400_5812000,0.0,0,38,228
60,8493600_5768400,0.125,13,91,187
61,9147600_5814800,0.25,1,3,119
62,9065600_5680400,0.027777777777777776,1,35,67
63,9150400_5820000,0.21875,14,50,116
64,8369200_5550400,0.0196078431372549,2,100,32
65,8495600_5780400,0.11764705882352941,8,60,227
66,9062000_5682800,0.2542372881355932,15,44,89
67,8491200_5772000,0.08695652173913043,6,63,374
68,9068000_5683200,0.09090909090909091,2,20,103
69,8812400_5993200,0.125,1,7,9
70,9063200_5680400,0.1388888888888889,5,31,70
71,9059200_5691600,0.12244897959183673,6,43,277
72,8332800_5494000,0.08333333333333333,1,11,174
73,8490400_5775600,0.07526881720430108,7,86,374
74,9067600_5688400,0.0,0,1,4
75,9066800_5684000,0.2,1,4,7
76,8334800_5494800,0.0,0,3,1
77,8492800_5776800,0.13953488372093023,12,74,292
78,8371200_5550800,0.0,0,39,1
79,9370800_5522800,0.12264150943396226,13,93,119
80,8290000_5498000,0.05555555555555555,3,51,264
81,9054400_5681200,0.2857142857142857,2,5,54
82,8287600_5497200,0.08771929824561403,5,52,337
83,9154800_5812000,0.05128205128205128,4,74,481
84,9368000_5530000,0.09523809523809523,6,57,107
85,9378800_5528400,0.10526315789473684,2,17,41
86,9372000_5528800,0.05263157894736842,1,18,112
87,8818000_5996000,0.19148936170212766,9,38,146
88,9061600_5680400,0.04,2,48,181
89,8491200_5768400,0.2236842105263158,17,59,51
90,8591600_5541200,0.14634146341463414,12,70,324
91,8492400_5768400,0.13978494623655913,13,80,173
92,8337600_5491600,0.025,1,39,10
93,8953600_5840000,0.0,0,15,53
94,9602400_6071200,0.06862745098039216,7,95,171
95,8336800_5494400,0.025,1,39,50
96,9150000_5816800,0.0,0,0,273
97,8369600_5550800,0.0625,4,60,40
98,9063600_5690400,0.07407407407407407,2,25,22
99,9072000_5681600,0.0,0,0,14
100,9072400_5682000,0.05194805194805195,4,73,327
101,9285200_5870800,0.0,0,0,167
102,9064400_5682000,0.2,16,64,95
103,9156800_5812800,0.0,0,1,5
104,9158400_5819600,0.0,0,0,70
105,9272800_5675600,0.0,0,30,192
106,9299200_5558800,0.0,0,14,90
107,9146000_5816400,0.06896551724137931,2,27,285
108,8368000_5550800,0.0,0,28,7
109,8337200_5490800,0.027777777777777776,1,35,12
110,9369200_5528400,0.06666666666666667,3,42,60
111,9062800_5678800,0.0,0,2,5
112,8369600_5549200,0.0,0,46,12
113,9366400_5522000,0.3389830508474576,20,39,33
114,9374000_5521200,0.1111111111111111,5,40,175
115,8333200_5493200,0.0,0,13,10
116,9265600_5670000,0.034482758620689655,1,28,310
117,8336000_5491200,0.1,5,45,163
118,9294800_5562800,0.06382978723404255,3,44,363
119,8495600_5778800,0.11578947368421053,11,84,387
120,9364000_5521600,0.25925925925925924,7,20,13
121,9153200_5816800,0.4107142857142857,46,66,59
122,8600000_5537200,0.08547008547008547,10,107,370
123,9066000_5686400,0.0,0,10,45
124,9054800_5686400,0.14285714285714285,1,6,11
125,8489200_5771600,0.0,0,2,12
126,8492000_5771600,0.1320754716981132,7,46,212
127,8490800_5776000,0.16666666666666666,4,20,215
128,8816800_5993200,0.2222222222222222,4,14,119
129,9063200_5677600,0.08695652173913043,2,21,121
130,8503600_5771600,0.10185185185185185,11,97,577
131,9064400_5679600,0.34782608695652173,16,30,51
132,8490400_5768800,0.1320754716981132,14,92,229
133,9299600_5562400,0.0,0,21,1
134,8493600_5774800,0.14414414414414414,16,95,546
135,8289200_5496000,0.08450704225352113,6,65,101
136,8507600_5763200,0.21052631578947367,8,30,117
137,9610400_6072000,0.0,0,0,19
138,9299200_5561200,0.5675675675675675,21,16,6
139,8370000_5549200,0.024390243902439025,1,40,12
140,9065200_5684800,0.0,0,10,33
141,9066400_5682800,0.10810810810810811,4,33,129
142,9148400_5814800,0.10909090909090909,6,49,217
143,8337600_5493200,0.0,0,29,16
144,8495200_5770800,0.4846153846153846,63,67,477
145,9149600_5820000,0.047619047619047616,1,20,437
146,8494800_5780000,0.1134020618556701,11,86,380
147,8496800_5764400,0.05555555555555555,3,51,430
148,8587200_5539600,0.15254237288135594,18,100,395
149,8287200_5497600,0.0784313725490196,4,47,355
150,9291600_5556800,0.05,4,76,97
151,8815200_5996000,0.07142857142857142,3,39,126
152,8820400_5991200,0.1794871794871795,7,32,284
153,9062400_5680400,0.07462686567164178,5,62,93
154,9151600_5817600,0.5306122448979592,78,69,343
155,8290800_5496000,0.15463917525773196,15,82,135
156,8491600_5769600,0.15723270440251572,25,134,409
157,8288400_5498400,0.17567567567567569,13,61,302
158,9153600_5820400,0.1527777777777778,11,61,218
159,8500400_5769600,0.2185430463576159,33,118,328
160,8287600_5498400,0.11428571428571428,8,62,239
161,8491600_5772000,0.1038961038961039,8,69,284
162,9376800_5526800,0.14285714285714285,1,6,20
163,8505200_5766800,0.10526315789473684,4,34,795
164,9267200_5672800,0.0,0,4,20
165,8368000_5549200,0.10526315789473684,4,34,171
166,8592400_5536400,0.2,1,4,156
167,8584400_5542000,0.25,43,129,417
168,8814800_5995600,0.2361111111111111,17,55,99
169,9298800_5553600,0.5,1,1,27
170,9065200_5688000,0.16129032258064516,5,26,121
171,9054800_5682000,0.0,0,2,37
172,9145200_5819200,0.0,0,7,106
173,8493600_5767200,0.05223880597014925,7,127,599
174,9364400_5517200,0.0875,7,73,90
175,8496400_5769200,0.3263888888888889,47,97,479
176,9266000_5671600,0.0,0,28,222
177,8499200_5768400,0.24271844660194175,25,78,51
178,9378000_5522800,0.0,0,6,34
179,8495200_5774800,0.0891089108910891,9,92,222
180,9290800_5555600,0.05263157894736842,1,18,115
181,9372800_5529200,0.3333333333333333,9,18,64
182,9061200_5685600,0.35,28,52,130
183,8336000_5495600,0.0,0,22,4
184,9280000_5869200,0.0,0,5,71
185,8336400_5490800,0.25,3,9,16
186,8494800_5772400,0.33035714285714285,37,75,306
187,9062800_5686400,0.26865671641791045,18,49,157
