,Loc ID,Accuracy,n_in,n_out,n_gt
0,9061200_5690800,0.0,0,3,1
1,8493200_5774800,0.09815950920245399,16,147,567
2,9377200_5525600,0.0,0,4,11
3,9298000_5556400,0.0,0,4,17
4,8492000_5775200,0.25,2,6,11
5,9366400_5525600,0.16326530612244897,16,82,46
6,8496000_5773200,0.2314410480349345,53,176,228
7,8953200_5840800,0.05263157894736842,4,72,365
8,9146800_5818800,0.03787878787878788,5,127,259
9,8590800_5530000,0.5555555555555556,5,4,378
10,8814400_5994000,0.0392156862745098,4,98,105
11,8494000_5768000,0.11475409836065574,21,162,378
12,9054800_5682800,0.0,0,14,50
13,9067600_5682800,0.0,0,10,31
14,8586800_5536800,0.1375,33,207,474
15,8593200_5631200,0.09345794392523364,10,97,189
16,8290000_5496800,0.15757575757575756,26,139,88
17,9278000_5863200,0.104,13,112,218
18,8333600_5491200,0.017241379310344827,1,57,10
19,8827600_5994800,0.06666666666666667,1,14,17
20,8582800_5540400,0.2283464566929134,29,98,91
21,8494400_5774400,0.12138728323699421,21,152,519
22,9364400_5522400,0.10256410256410256,8,70,32
23,8289600_5496800,0.11976047904191617,20,147,101
24,8287600_5498800,0.044715447154471545,11,235,435
25,8289200_5493200,0.16071428571428573,18,94,29
26,9067600_5680800,0.0379746835443038,3,76,156
27,9153600_5814400,0.10144927536231885,7,62,110
28,9071200_5683200,0.0,0,3,130
29,9062000_5686400,0.20238095238095238,17,67,70
30,8590000_5537600,0.05263157894736842,3,54,76
31,9057200_5688800,0.017543859649122806,1,56,155
32,9268800_5668000,0.0,0,8,2
33,9066400_5686400,0.043478260869565216,2,44,86
34,8290400_5494800,0.05454545454545454,9,156,344
35,8494800_5772800,0.26222222222222225,59,166,282
36,9066000_5677200,0.15384615384615385,2,11,44
37,9064000_5680400,0.06862745098039216,7,95,77
38,9057600_5682800,0.1111111111111111,6,48,132
39,9302400_5561200,0.06896551724137931,8,108,310
40,8336800_5492800,0.004629629629629629,1,215,11
41,9067200_5687600,0.09090909090909091,1,10,32
42,8507200_5767200,0.05172413793103448,3,55,112
43,8494000_5774800,0.12025316455696203,19,139,561
44,9064800_5678000,0.07692307692307693,1,12,18
45,8492000_5768000,0.17777777777777778,24,111,104
46,9054400_5684000,0.13333333333333333,4,26,12
47,9602400_6072800,0.030303030303030304,3,96,88
48,8338400_5491600,0.014184397163120567,2,139,1
49,9363600_5529200,0.10434782608695652,12,103,379
50,8590000_5540800,0.07246376811594203,10,128,486
51,8820800_5995200,0.0,0,5,8
52,9068400_5685600,0.0,0,10,13
53,9070800_5689600,0.0,0,21,35
54,8491200_5776400,0.25,1,3,4
55,9273600_5872000,0.024390243902439025,1,40,67
56,9145600_5821600,0.0,0,0,94
57,9157600_5814000,0.024096385542168676,2,81,217
58,8826400_5996000,0.125,1,7,34
59,9154400_5812000,0.06666666666666667,3,42,228
60,8493600_5768400,0.20958083832335328,35,132,187
61,9147600_5814800,0.07142857142857142,1,13,119
62,9065600_5680400,0.0,0,42,67
63,9150400_5820000,0.1834319526627219,31,138,116
64,8369200_5550400,0.00980392156862745,2,202,32
65,8495600_5780400,0.07228915662650602,6,77,227
66,9062000_5682800,0.3153846153846154,41,89,89
67,8491200_5772000,0.0625,7,105,374
68,9068000_5683200,0.029850746268656716,2,65,103
69,8812400_5993200,0.13636363636363635,3,19,9
70,9063200_5680400,0.024096385542168676,2,81,70
71,9059200_5691600,0.08860759493670886,7,72,277
72,8332800_5494000,0.01694915254237288,2,116,174
73,8490400_5775600,0.08391608391608392,12,131,374
74,9067600_5688400,0.0,0,1,4
75,9066800_5684000,0.0,0,7,7
76,8334800_5494800,0.0,0,4,1
77,8492800_5776800,0.088,11,114,292
78,8371200_5550800,0.0,0,72,1
79,9370800_5522800,0.13559322033898305,16,102,119
80,8290000_5498000,0.1388888888888889,15,93,264
81,9054400_5681200,0.07142857142857142,1,13,54
82,8287600_5497200,0.046511627906976744,6,123,337
83,9154800_5812000,0.06306306306306306,7,104,481
84,9368000_5530000,0.049019607843137254,5,97,107
85,9378800_5528400,0.03225806451612903,1,30,41
86,9372000_5528800,0.0,0,47,112
87,8818000_5996000,0.15584415584415584,12,65,146
88,9061600_5680400,0.0759493670886076,6,73,181
89,8491200_5768400,0.09047619047619047,19,191,51
90,8591600_5541200,0.15730337078651685,28,150,324
91,8492400_5768400,0.15333333333333332,23,127,173
92,8337600_5491600,0.0,0,104,10
93,8953600_5840000,0.03333333333333333,1,29,53
94,9602400_6071200,0.1111111111111111,17,136,171
95,8336800_5494400,0.03676470588235294,5,131,50
96,9150000_5816800,0.3076923076923077,4,9,273
97,8369600_5550800,0.09322033898305085,11,107,40
98,9063600_5690400,0.08695652173913043,4,42,22
99,9072000_5681600,0.2857142857142857,2,5,14
100,9072400_5682000,0.043478260869565216,4,88,327
101,9285200_5870800,0.0,0,4,167
102,9064400_5682000,0.08064516129032258,10,114,95
103,9156800_5812800,0.0,0,43,5
104,9158400_5819600,0.0,0,0,70
105,9272800_5675600,0.0963855421686747,8,75,192
106,9299200_5558800,0.02631578947368421,1,37,90
107,9146000_5816400,0.1111111111111111,9,72,285
108,8368000_5550800,0.031746031746031744,4,122,7
109,8337200_5490800,0.0,0,156,12
110,9369200_5528400,0.08571428571428572,6,64,60
111,9062800_5678800,0.0,0,17,5
112,8369600_5549200,0.01,1,99,12
113,9366400_5522000,0.38016528925619836,46,75,33
114,9374000_5521200,0.05555555555555555,4,68,175
115,8333200_5493200,0.005988023952095809,1,166,10
116,9265600_5670000,0.05454545454545454,6,104,310
117,8336000_5491200,0.1,11,99,163
118,9294800_5562800,0.011904761904761904,1,83,363
119,8495600_5778800,0.11612903225806452,18,137,387
120,9364000_5521600,0.21875,14,50,13
121,9153200_5816800,0.2694063926940639,59,160,59
122,8600000_5537200,0.15625,25,135,370
123,9066000_5686400,0.0,0,11,45
124,9054800_5686400,0.043478260869565216,1,22,11
125,8489200_5771600,0.09090909090909091,1,10,12
126,8492000_5771600,0.14285714285714285,14,84,212
127,8490800_5776000,0.17647058823529413,6,28,215
128,8816800_5993200,0.15217391304347827,7,39,119
129,9063200_5677600,0.1,3,27,121
130,8503600_5771600,0.11594202898550725,16,122,577
131,9064400_5679600,0.2054794520547945,15,58,51
132,8490400_5768800,0.07692307692307693,13,156,229
133,9299600_5562400,0.0,0,43,1
134,8493600_5774800,0.07909604519774012,14,163,546
135,8289200_5496000,0.07518796992481203,10,123,101
136,8507600_5763200,0.1076923076923077,7,58,117
137,9610400_6072000,0.0,0,0,19
138,9299200_5561200,0.28888888888888886,13,32,6
139,8370000_5549200,0.0,0,136,12
140,9065200_5684800,0.0,0,25,33
141,9066400_5682800,0.05128205128205128,2,37,129
142,9148400_5814800,0.08421052631578947,8,87,217
143,8337600_5493200,0.005434782608695652,1,183,16
144,8495200_5770800,0.3482142857142857,39,73,477
145,9149600_5820000,0.06097560975609756,5,77,437
146,8494800_5780000,0.10880829015544041,21,172,380
147,8496800_5764400,0.14782608695652175,17,98,430
148,8587200_5539600,0.07692307692307693,10,120,395
149,8287200_5497600,0.03896103896103896,6,148,355
150,9291600_5556800,0.09259259259259259,10,98,97
151,8815200_5996000,0.05263157894736842,3,54,126
152,8820400_5991200,0.0,0,82,284
153,9062400_5680400,0.08860759493670886,7,72,93
154,9151600_5817600,0.22727272727272727,30,102,343
155,8290800_5496000,0.16463414634146342,27,137,135
156,8491600_5769600,0.21468926553672316,38,139,409
157,8288400_5498400,0.0718562874251497,12,155,302
158,9153600_5820400,0.10497237569060773,19,162,218
159,8500400_5769600,0.26277372262773724,36,101,328
160,8287600_5498400,0.062111801242236024,10,151,239
161,8491600_5772000,0.08333333333333333,10,110,284
162,9376800_5526800,0.0,0,32,20
163,8505200_5766800,0.10344827586206896,12,104,795
164,9267200_5672800,0.07692307692307693,1,12,20
165,8368000_5549200,0.060109289617486336,11,172,171
166,8592400_5536400,0.041666666666666664,1,23,156
167,8584400_5542000,0.2546816479400749,68,199,417
168,8814800_5995600,0.14150943396226415,15,91,99
169,9298800_5553600,0.0,0,12,27
170,9065200_5688000,0.0958904109589041,7,66,121
171,9054800_5682000,0.0,0,15,37
172,9145200_5819200,0.03571428571428571,2,54,106
173,8493600_5767200,0.1,17,153,599
174,9364400_5517200,0.04964539007092199,7,134,90
175,8496400_5769200,0.2459016393442623,60,184,479
176,9266000_5671600,0.043478260869565216,3,66,222
177,8499200_5768400,0.21296296296296297,46,170,51
178,9378000_5522800,0.08,2,23,34
179,8495200_5774800,0.11504424778761062,13,100,222
180,9290800_5555600,0.05,1,19,115
181,9372800_5529200,0.04878048780487805,2,39,64
182,9061200_5685600,0.2518518518518518,34,101,130
183,8336000_5495600,0.012987012987012988,1,76,4
